Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.19685056
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.09954452
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.49762199999999
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.49566344
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.80073164
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.29819356
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.5992248
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.29663476
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.79617508
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14,24.44881896
222.36,0.0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56,29.447519959999997
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100,40.7135578
233.81,0.0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
233.81,0.0,94.58,197.89,4.567,947.04,852.16,14,22.13907436
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28,22.83544512
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
233.81,0.0,94.58,197.89,4.567,947.04,852.16,100,34.55653712
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,3,12.45193656
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14,24.986610239999997
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56,33.963587759999996
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100,37.34202016
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3,15.04436632
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,14,21.063491799999998
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28,26.40003604
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56,35.34253976
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100,40.56876784
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56,34.20490436
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100,39.6103962
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3,10.0318758
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28,24.483292759999998
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14,22.718234199999998
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100,40.38950408
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3,10.76272036
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14,25.48303296
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971024
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.8229546
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.2311844
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100,53.90323368
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3,13.18278112
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14,17.83674412
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28,40.2309246
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56,47.13257936
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100,49.973220479999995
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28,24.53845084
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3,19.93275116
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14,25.68987576
238.05,0.0,94.11,186.66,7.0,949.91,847.01,28,30.2335226
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56,39.58971192
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100,44.298833
250.0,0.0,95.69,187.42,5.53,956.86,861.17,3,13.817099039999999
250.0,0.0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28,29.21999288
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56,38.32797084
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100,42.347615919999996
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14,26.310404159999997
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28,31.640053639999998
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56,42.54756396
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100,42.919881
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56,44.395359639999995
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100,47.739318239999996
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3,19.519065559999998
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14,31.35047372
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28,38.500339839999995
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56,45.08483564
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,100,47.8151606
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3,15.43736764
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,28,29.654362759999998
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100,43.58177796
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,100,44.209201119999996
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,14,21.601283079999998
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56,35.570066839999996
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.3153403599999995
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.504756439999998
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,28,31.2677366
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56,43.49904084
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100,48.67011084
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.3980774799999995
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3,22.50449664
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14,34.67374804
290.35,0.0,96.18,168.08,9.41,961.18,865.0,28,34.73580088
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56,45.08483564
290.35,0.0,96.18,168.08,9.41,961.18,865.0,100,48.97348028
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
277.05,0.0,97.39,160.6,11.83,973.9,875.61,14,41.885667
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
295.71,0.0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
295.71,0.0,95.64,171.54,8.87,955.14,859.2,14,35.2322236
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28,39.94134468
295.71,0.0,95.64,171.54,8.87,955.14,859.2,56,48.718374159999996
295.71,0.0,95.64,171.54,8.87,955.14,859.2,100,52.04164848
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3,21.02212324
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,14,33.35684888
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,28,33.94290348
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56,44.14025352
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100,45.3675208
249.1,0.0,98.75,158.11,12.8,987.76,889.01,3,15.361525279999999
249.1,0.0,98.75,158.11,12.8,987.76,889.01,14,28.6822016
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
249.1,0.0,98.75,158.11,12.8,987.76,889.01,56,42.030456959999995
249.1,0.0,98.75,158.11,12.8,987.76,889.01,100,51.0556978
252.31,0.0,98.75,146.25,14.17,987.76,889.01,3,21.78054684
252.31,0.0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
252.31,0.0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
252.31,0.0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
252.31,0.0,98.75,146.25,14.17,987.76,889.01,100,60.949678399999996
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,3,23.52492112
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,14,42.21661548
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,28,52.5035974
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100,66.42411784
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28,51.331488199999995
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,56,56.847296199999995
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,100,58.60546
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,3,21.91154728
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,14,36.990387399999996
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,14,33.72916592
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56,46.6430514
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,100,50.07664188
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,3,17.36790044
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28,45.939785879999995
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56,51.4349096
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,100,59.30183076
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726016
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14,47.7117392
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,63.14221208
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,100,66.9481196
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.42046052
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.9561734
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.99078716
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,63.528318639999995
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.01600788
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.60376124
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
