rating,date,variation,verified_reviews,feedback
5,29-Jul-18,Charcoal Fabric ,I am impressed with the sound quality.,1
5,29-Jul-18,Charcoal Fabric ,"Very pleased with my purchase of Echo Smart Speaker - love the fact that I can play music of different genre's whenever I want.Had some trouble at first with the WI FI, but it is now working.",1
5,29-Jul-18,Charcoal Fabric ,"My  wife & I enjoy the ease of playing our music. The games are fun & entertaining, I look forward to adding more smart products to my home.",1
5,29-Jul-18,Sandstone Fabric ,"This is my second Echo and I love how it helps me in the kitchen. I can set timers, listen to the news, prepare grocery lists, and get great music.",1
4,29-Jul-18,Sandstone Fabric ,The sound quality is good just wish alexa could answer more questions,1
5,29-Jul-18,Heather Gray Fabric ,"This is my second Echo, I have the Dot but the speaker is weak so I purchased this and for listening to music the speaker is great.",1
5,29-Jul-18,Charcoal Fabric ,great sound,1
5,29-Jul-18,Heather Gray Fabric ,Great,1
4,29-Jul-18,Charcoal Fabric ,We really only use this as a speaker to stream music. We’ve had it 7 months and it’s just kinda useless.,1
5,29-Jul-18,Heather Gray Fabric ,"Once set up very user friendly. Set-up wasn't as user friendly as I'd hoped.. The alexa app should be able to download to a pc without installing [invasive ] drivers. My wife and I are both retired and she wouldn't have been able to install Alexa, but if my son wasn't supplying her with a smart phone we wouldn't be using Alexa yet.",1
5,29-Jul-18,Charcoal Fabric ,Very easy set up. Really enjoying it,1
3,29-Jul-18,Heather Gray Fabric ,"The echo doesn’t come with a built in battery so it has to be plugged in at all times to use it, makes it quite inconvenient.",1
5,29-Jul-18,Charcoal Fabric ,more compact and a bit better than the original,1
5,29-Jul-18,Charcoal Fabric ,I love it pretty cool.,1
5,29-Jul-18,Charcoal Fabric ,I having it in my living room. Music sounds really good in my living room . I can hear it upstairs.,1
5,29-Jul-18,Heather Gray Fabric ,This is a great product!  Set up was easy.  Sound is wonderful.,1
4,28-Jul-18,Charcoal Fabric ,"So far I like it.  I bought it just for some music though, and it sounds pretty good.",1
5,28-Jul-18,Charcoal Fabric ,Love it,1
5,28-Jul-18,Charcoal Fabric ,Love it.,1
5,28-Jul-18,Charcoal Fabric ,Glad I bought this.,1
5,28-Jul-18,Heather Gray Fabric ,"Like, all types of fun,music, and more",1
5,28-Jul-18,Heather Gray Fabric ,I like the volume up and down on the top so I can turn it down quickly.,1
3,28-Jul-18,Charcoal Fabric ,Beyond my capabilities to program. Grandkids lve it,1
5,28-Jul-18,Heather Gray Fabric ,"I love my new echo.  It gives me hours of music and help with other things.It was difficult for me to set it up,  I had to have help from a Tekkie",1
5,28-Jul-18,Charcoal Fabric ,Almost as good as my Bose. Love the whole house music.,1
1,28-Jul-18,Charcoal Fabric ,Alexa hardly came on..,0
5,28-Jul-18,Charcoal Fabric ,"Easy setup using the app, which was also easy to install on my phone.  The sound quality while for listening to music on Pandora is wonderful!!",1
5,28-Jul-18,Charcoal Fabric ,"I’m still learning how to use the Echo, but so far I love it!",1
4,28-Jul-18,Charcoal Fabric ,Works awesome!,1
5,28-Jul-18,Charcoal Fabric ,Works great.,1
5,28-Jul-18,Charcoal Fabric ,From such a small speaker it sounds great,1
5,28-Jul-18,Charcoal Fabric ,Great sound for the size and the prize!! And of course....Alexa!,1
5,28-Jul-18,Charcoal Fabric ,if you don't have an Echo you definitely need one,1
5,28-Jul-18,Charcoal Fabric ,Great device.  Seems to work better than the 1st generation!,1
5,28-Jul-18,Charcoal Fabric ,Very useful,1
5,28-Jul-18,Charcoal Fabric ,Great Prime Day Buy!,1
5,28-Jul-18,Charcoal Fabric ,I love Alexa!,1
5,28-Jul-18,Charcoal Fabric ,Alexa is easy to operate and set up.  Have had it for about 10 days now and love it.,1
5,28-Jul-18,Heather Gray Fabric ,Great speaker with a lot of capabilities. Very fun to learn how to use it.,1
5,31-Jul-18,Black  Spot,I used the product for my phone to look up the weather and watch videos,1
4,31-Jul-18,White  Spot,"Don’t use it for much as I thought we would. Synced with Kasa-Cam and use it to check up on our baby in the crib a lot. Lyrics for music is cool, too. Other than that it’s used as a clock and standard dot’ish features.",1
5,30-Jul-18,Black  Spot,Amazing so far. Just got it the other day.,1
4,30-Jul-18,Black  Spot,"I like that it's smaller, but it has never understood commands as easily as our first-gen original Echo did.",1
4,30-Jul-18,Black  Spot,"Worthy successor to the echo dot and right at home in the bed room as an alarm clock.  However, for the price it should come with the stand",1
5,30-Jul-18,Black  Spot,"I love this device! All the functionality of an Amazon Echo with the added benefit of a video screen. It looks great on my nightstand as a clock (lots of faces to choose from) and displays weather, reminders, etc. I think it can do video calls too but I use FaceTime for that anyway. It’s a great shape and doesn’t take up a lot of room. I’m planning to get another one for my guest room. Awesome for a great price!",1
5,30-Jul-18,White  Spot,I love the Echo Spot. This bedside alarm clock size device can do what theEcho Show can do. I was concerned because I already had a large Echo in mybedroom that answered to “Alexa” like the other devices in my home. I wasconcerned about having both devices answering at the same time when I discoveredthat I had other name choices (not enough for me but just enough to avoid confusion).I named him “Echo.” Now if I could only choose a male voice. I loved that I could link it tomy security camera and my new doorbell. So many more features. Don’t forget to buy thestand/base. So many advantages to having that. Read the reviews. Highly recommend.,1
4,30-Jul-18,Black  Spot,"I love this little Spot more than I thought I would. The sound is great for such a little thing...my music plays nice and loud and clear. The video is terrific...I was watching some Prime shows just for the heck of it, and I was really impressed. Immediately convinced my mom to buy my sister one for her birthday!Only thing that kept me from giving it 5 stars...I really wish it was cordless. I love having it in my kitchen but trying to find a place to plug it in is a pain. And it won’t connect to my Bluetooth speaker while playing Amazon Prime Music for some reason, which is a drag when I want to hear it in the dining room during dinner. Of course, if it was CORDLESS I could just bring it with me...otherwise, I absolutely love it and will probably buy another one!",1
5,30-Jul-18,Black  Spot,"I bought on Prime Day and so glad I did. It’s easy to use and lots of customization options. I know some reviews said that the screen was small and hard to read, but I disagree.",1
2,30-Jul-18,Black  Spot,Honestly I like it but at the same time I don’t I could have bought a smaller one that did the exact same thing for less then half I bought it for the video chat and I have never really used it,0
4,30-Jul-18,Black  Spot,"Overall it's great and I like that I can see lyrics and the time and  date. However, sometimes it freezes and doesn't respond properly--no error message about lack of connectivity--it just stops. Resetting resolves the problem.",1
5,30-Jul-18,Black  Spot,I love all that you can do with the Echo Spot!,1
5,30-Jul-18,White  Spot,The thing I like most about my Echo Spot is the voice command feature.  You can ask anything and get an answer or play any music without getting up to adjust the Echo. Easy to use,1
5,30-Jul-18,White  Spot,"Love it!! Perfect for an alarm clock replacement, plus so much more!!",1
5,30-Jul-18,Black  Spot,"I love the Echo Spot as it is great for checking the weather along with many other things, but most important it works great as your alarm clock in your bedroom!",1
5,30-Jul-18,White  Spot,We absolutely love this product!!! Wish we would have bought this instead of the dots!!!,1
5,30-Jul-18,White  Spot,"We like that we are able to get weather and other information quickly.  You can even hear music played. The speaker is clear.  We are enjoying it.  What we did not like because it was creepy was that the day before my husband played a particular song on our stereo for me.  The next day, I asked the Echo to play music from the same artist not specifying any particular song.  The Echo played the exact song by that same artist that my husband played on our stereo the day before.  It was a little disconcerting.",1
4,30-Jul-18,White  Spot,"I like echo spot. I bought it to use as an alarm clock. One negative that i didnt really think about, when you wake up in the morning and are somewhat groggy, its hard to tell alexa to turn off the alarm, or hard to remember commands to snooze for a few minutes. In this case a clock with buttons seems to work better",1
5,30-Jul-18,White  Spot,This is our second Echo Spot - to go with out two Echo Dots - love the look and how Alexia responds.,1
5,30-Jul-18,Black  Spot,Love my Echo Spot!,1
1,30-Jul-18,Black  Spot,It is very slow compared to the echo,0
5,30-Jul-18,White  Spot,I love the way it is designed. And you have choices for the face.  I use it for my bed side.  I drop in; on my echo in another part of the house frequently without yelling.,1
4,30-Jul-18,Black  Spot,"Terrific sound for a small device, and nice form factor for the nightstand. I like the convenience of seeing the time and temperature rather than asking Alexa. Not using video much, but it would be nice if the device had a square/rectangular screen.",1
5,30-Jul-18,Black  Spot,New to Alexa. Like this spot a lot.,1
4,30-Jul-18,Black  Spot,"It's not perfect, but I really like this little gizmo. i bought it primarily for 2 purposes. First, so I could set wake-up alarms by individual days, and set the wake-up music individually by the day. Second, I wanted to control a bedroom light by voice, so I could shut it off as I was falling asleep, without having to get out of bed to turn a switch. The Echo Spot, together with a smart plug,has been able to accomplish that. A bonus has been getting Alexa to play music from my Amazon Prime playlists.What's not so great is that sometimes Alexa has a really hard time understanding instructions, and repeating and altering the way you say things can get pretty frustrating. Hopefully the AI gets better in the future, along with added functions.",1
5,30-Jul-18,White  Spot,I love it.  It is so easy to use,1
5,30-Jul-18,Black  Spot,Put this on my night stand to use as a clock and alarm. Works great. Every morning I get the weather and news when I get up. Also reminds me of all the appointments my wife and I have.,1
5,30-Jul-18,Black  Spot,Love it,1
3,30-Jul-18,White  Spot,"Part of it is my fault, I thought it could be wireless.  Though for the price, I still feel like it should be. Also the sound quality and volume could be better. I prefer the tap. Unless you really want to have the call options but today most of us have phones, computers or iPads. Just not worth it.",1
5,30-Jul-18,Black  Spot,Very easy to use and much quicker then looking up everything on the cell phone.,1
5,30-Jul-18,Black  Spot,I love my new Echo Spot!,1
5,30-Jul-18,Black  Spot,"I love this clock, I just have to tell it to set my alarm.  No more fussing with buttons!",1
5,30-Jul-18,Black  Spot,Couldn't be more pleased. Amazon hit this one out of the park. Looks great and runs great. Love it!,1
5,30-Jul-18,White  Spot,Responds easily and like the ability to do at night.,1
5,30-Jul-18,Black  Spot,Easy setup  Love it!,1
5,30-Jul-18,White  Spot,"Simply amazing what a awsome device. It never ceases to amaze me, wake up to big bang music, go to sleep softly falling rain. Drop in on the kids and keep in touch. I have just scratched the surface as to what this devise can do.",1
4,30-Jul-18,Black  Spot,"I was skeptical at first but &#34;it&#34; grows on you.  It looks good, so far.  I did, however, turn off the camera.",1
4,30-Jul-18,Black  Spot,Sound quality is disappointing.,1
5,30-Jul-18,White  Spot,I love it!  I especially love that it is so small and does so much.  Got rid of my old CD/Alarm clock radio.  Much more room on nightstand.,1
5,30-Jul-18,White  Spot,Great sound and video plus all the great stuff that Alexa has to offer even turns my lights on and off,1
4,30-Jul-18,Black  Spot,The ease to use product,1
4,30-Jul-18,Black  Spot,"So far pretty happy with the Spot. For me it really is a glorified alarm clock/radio and I know I could have something more cost effective but eh, I like it. I had read the reviews about the scrolling issues and saw the one about how to make that stop and it did. So far so good.",1
5,30-Jul-18,Black  Spot,"I am just entering the &#34;smart&#34; technology world. I haven't figured it all out yet, but so far it's pretty cool!",1
5,30-Jul-18,Black  Spot,"It was smaller than I had anticipated, and when I say that I very much mean it. However, it still works very well! Quality sound, easily programmed, easy to work with, but Alexa is not anywhere as good as other voice programs.",1
1,30-Jul-18,White  Spot, ,0
5,30-Jul-18,White  Spot,Love my Echo Spot!,1
5,30-Jul-18,Black  Spot,"Great deal, great product!",1
5,30-Jul-18,Black  Spot,Perfect,1
5,30-Jul-18,Black  Spot,"i had a couple of echo dots previously - bought these _SPECIFICALLY_ for the Ring doorbell video / cloud cam display / interface capabilities. WAS NOT DISAPPOINTED. Love the fact that I can ask to see front yard / back yard / front door, etc.the video chat with the other rooms is also quite cool.BONUS: “Alexa show me Ant Man trailer, etc”i know this can all be done on laptop/desktop, but it’s cool now having an ‘appliance’ that’s always just there, and it doesn’t interrupt what i’m doing.",1
5,30-Jul-18,White  Spot,"Bought this for my bedroom and the Show for my living room. Love them both. The Spot is perfect for bedside and has an impressive design. Shows lyrics, photos , etc. I paired it with a Smart Plug for the bedroom lamps &#34;Alexa, turn off lights&#34;, love it.",1
5,30-Jul-18,Black  Spot,Love that is can do so much! It sits on my nightstand! Only improvements I would make is having battery back up capability and the screen could be a tad bigger. But overall I’m happy I have it! Would recommend!,1
4,30-Jul-18,Black  Spot,It was a gift and the recipient love love loves it 😍💋💋💋💋❤!,1
5,30-Jul-18,Black  Spot,"Cool little piece of tech...we’re still learning some of its functions and possibilities, but I can see some potential.  Even my ‘technically challenged’ wife already figured out how to video call our daughter.",1
5,30-Jul-18,Black  Spot,"I have been extremely impressed with the device as a whole. Completely changed sleep schedule and replaced my alarm clock. It is the perfect bedside counter device - alarm, wake up music, weather, top news stories, etc. Perfect device for what I wanted and does so much more than I expected it to do, calling feature is also a huge selling point. This is a must own item. Probably will grab more Echos in the future.",1
2,30-Jul-18,Black  Spot,"As an Alexa device, it works just as well as any of the other products.  Unfortunately it doesn't go up from there.  The ability to play videos is very limited.  You CAN NOT play YouTube and when you can play a video the cropping of the screen makes it look very strange. There is quite a selection of clock faces, and you can control what is displays with one glaring and VERY ANNOYING exception.  You can't turn off the &#34;Things to try&#34; screen You can turn off the screen scroll, but that defeats the purpose of having the screen.  I don't need to be reminded every 5 seconds what things I can do with Alexa.  I don't need the advertising, especially at the cost of this device.  Overall, its an expensive Alexa device with a screen that's not very useful and annoying.  I would not recommend this until the Amazon people get their act together and come up with a screen that's actually useful.",0
5,30-Jul-18,White  Spot,So far so good.,1
5,30-Jul-18,Black  Spot,"This device is perfect for a smart nightstand clock. I love how it dims based on the ambient light in the room. Its the first nightstand clock I have had in my bedroom in years because the lighting and glow from typical alarm clocks bother me when trying to sleep. The screen on this dims when the lights in the room go out and is not bothersome at all.Overall a great addition to my smart home. Its nice to be able to tell Alexa to turn on/off the bedroom lights without even getting out of bed or reaching for your phone. I have a bunch of other Alexa devices, but this was the first one with a screen.",1
5,30-Jul-18,White  Spot,"I love this thing. I talk to it through walls and in other rooms. I have been an amazon lover for a while so I have amazon music unlimited, kindle unlimited, prime video, etc., so I was ready for this when it came out. The screen is just so nice to have.The only thing resembling a down side is that it doesn't always perfectly understand which song I want to hear, but I do have a deep southern accent, lower Alabama, so I don't speak English anyways.",1
4,30-Jul-18,Black  Spot,Smaller than I thought it would be. Happy I got a stand so it sits up higher on the bedside table.,1
4,30-Jul-18,White  Spot,Echo Spot works well except it does not work with the Ring doorbell as it states on the website. Since they were sold as a pair I thought that it would be app ready.  Unfortunately that is not case.  Perhaps Ring will update so that they can be integrated.,1
5,30-Jul-18,Black  Spot,Nice,1
5,30-Jul-18,Black  Spot,I like it,1
1,30-Jul-18,White  Spot, ,0
5,30-Jul-18,White  Spot,"We've owned a number of Echo devices, but have viewed them as more of a toy than a tool.  Other than playing music through a sound system, we haven't found much use for them.  We just don't find the voice user interface to be all that efficient.  The Echo Spot solves the efficiency problem by displaying the information that you're routinely interested in.  Furthermore, you can do some basic navigation using the touch screen as well as tailor the settings.  We now use these as bedside clocks.",1
5,30-Jul-18,White  Spot,I love my Echo Spot.  Waking to my favorite music.  Being able to completely turn off display at night so my bedroom is dark.  All the skills I have yet to try.  Easy to use.,1
4,30-Jul-18,Black  Spot,"I like how small it is, but I’m still able to see my Ring cameras.",1
5,30-Jul-18,Black  Spot,Great for checking in on my son after school when I'm still at work.  Love getting the weather and traffic in the morning so I can plan my route accordingly,1
5,30-Jul-18,Black  Spot,Love it!! Super fun! Easy to use! My three year old even gets involved,1
1,30-Jul-18,White  Spot,I returnef this item because it does not speak Spanish,0
1,29-Jul-18,White  Spot, ,0
4,29-Jul-18,Black  Spot,"I am a hardcore fan of Echo. Infact I am in love with all members of my Alexa family. I have Echo, Echo Dot, Echo Plus and now this new toddler Echo Spot. Every variant has its own beauty. I love feel and size of Echo Spot. It’s fabulous as far as looks are concerned. It does not have great Audio quality (which I did not expect at the time of placing order because of its compact and small size). I bought it to connect with my Bose SoundTouch.",1
5,29-Jul-18,Black  Spot,Love this!,1
5,29-Jul-18,Black  Spot,I love being able to have Alexa sing careless whisper into my ear to wake me up.,1
3,29-Jul-18,White  Spot,"Works great as a bedside clock but the microphone for Alexa doesn't work as well as the normal Echo.  Sometimes Alexa doesn't hear me when I try to interrupt her it to give new instructions.  The speaker also isn't as good as the normal Echo.  Screen is small so not really useful for viewing any type of video or for seeing who's at the front door.  But, it's great for the bedside.",1
5,29-Jul-18,Black  Spot,Fun tech toy,1
5,29-Jul-18,Black  Spot,Love it. Small with good sound,1
5,29-Jul-18,Black  Spot,"With the combination of this, smart plugins, and the Alex app I can turn stuff on and off with my phone or telling Alexa to do it. I can order stuff, get answers, watch videos, get weather, set alarms, video call, and so much more with this device!",1
5,29-Jul-18,Black  Spot,Great product,1
5,29-Jul-18,Black  Spot,"In a matter of minutes it became indispensable addition to our house. Extrimelly useful hub of information, music, automation, communication, and assistant in basic needs. Would love to have a voice personalization. Some things are better not to said aloud but typed (like door unlocking codes) but that is problem of unwitty developers. So far only positive experience. The privacy invasions is happened way before Alexa, it is on your phone no matter brand or carrier. To Alexa defence at list it has a button to turn a microphone off.",1
4,29-Jul-18,Black  Spot,"I love this device! It's so great. What a great alarm clock and what a surprisingly good speaker! Only reason I didn't give 5 stars was because it needs to have a few more features like playing YouTube videos, and Google play music. The camera is not very good in low light if you decide to drop in and it's dark in the room.Other than those minor things, I love it. Great buy and would buy again",1
5,29-Jul-18,Black  Spot,Hands free control,1
5,29-Jul-18,Black  Spot,"Great love the display and easy to use, though still learning what all it can do everyday.",1
4,29-Jul-18,Black  Spot,"It has been able to interpret my instructions pretty well right from the start, even from a distance. A lot of the skills are excellent. I've added a few of the late shows to my flash briefing but it's ridiculous that it can't access YouTube.It might be important to note that adding an event to your calendar is a task; it seems to have difficulty with the time span of an event. I imagine this is a functionality people would use often.",1
5,29-Jul-18,Black  Spot,Setup was easy and it is a fantastic alarm clock,1
5,29-Jul-18,Black  Spot,"Great product! Highly recommend getting the stand that goes under it, it sits much better on the desk.",1
3,29-Jul-18,Black  Spot,Eh it’s cool and all but also kinda boring I don’t really know what to do with it other than it being a desk clock so 3/5 is about right. I can’t connect to my Spotify unless it’s premium and I’m in college and I’m not paying or that or amazon music so,1
3,29-Jul-18,White  Spot,I am huge Amazon fan! First to have a kindle and the echo. I waited a bit on this but have wanted it for awhile. I do love it!! My kids love it! They love watching videos and the lyrics to the songs. Now the video calling feature is nothing like how the advertisement made it out. I thought as long as someone would FaceTime me I could do it through that and I can’t. It’s Spot to Spot. Can’t even Skype (which I do often with my aunt). The is my major disappointment with it.,1
5,29-Jul-18,White  Spot,LOVE LOVE LOVE THESE. The only think I notice is that it doesn't pick-up my voice and commands as well as my Echo and Echo Dots (we have 4 Echo products throughout our house). I have this in the kitchen and in my bedroom as my alarm clock. I'm no longer searching for a pen and paper to make lists!!!!,1
5,29-Jul-18,White  Spot,Love my Amazon products,1
5,29-Jul-18,Black  Spot,Love this,1
5,29-Jul-18,Black  Spot,"Love my spot. Have that , a dot, and a regular echo",1
4,29-Jul-18,White  Spot,Nice upgrade from an Echo Dot.,1
4,29-Jul-18,Black  Spot,"Works decent, wish it was able to answer more questions....need a better source for info but the rest works great!",1
5,29-Jul-18,Black  Spot,I can't live without Alexa.,1
5,29-Jul-18,Black  Spot,Really like it. The screen is a major plus.,1
5,29-Jul-18,Black  Spot,"Didnt think id get an Alexa device, but this is perfect for my home office.  the screen adds just that little piece that makes it worth the extra cost of the other Alexa devices.  It can show lyrics of songs, play my xm radio, can show videos of movie trailers and news.  Its great!",1
5,29-Jul-18,White  Spot,I love it.  I made a group with my echo dot so I get music through my home.  I am waiting for the to go on sale again so hopefully I can get another spot for my bedroom..  I love the alarm and weather at the sound of my voice..,1
1,29-Jul-18,Black  Spot,"When we first received this product, it was great.  However, about a week ago, the device served up a video advertisement around 10:30pm at night and scared myself and my family.  If you want to make sure you are protected and don't allow video directly in your home, the spot is not a device that can keep you safe.",0
5,29-Jul-18,Black  Spot,"It's fun to use, and makes my life easier in some sense.",1
5,29-Jul-18,Black  Spot,Love it!,1
1,29-Jul-18,Black  Spot, ,0
5,29-Jul-18,White  Spot, ,1
5,29-Jul-18,Black  Spot,"I got my Echo Spot on Prime Day and love it. I think it still is a little expensive, but the chance to save $30 convinced me to buy it. I basically use it as a radio alarm clock because on my old radio the stations would sometimes not come in clearly. I also like the sleep sounds skill, and hearing the weather. I'm still exploring the other skills...just discovered some Star Trek sounds (Alexa, beam me up) which are fun!",1
5,29-Jul-18,Black  Spot,Love this! Replaced an old alarm clock in my bedroom with this.  Love that it dims at night. Very responsive to commands.,1
5,29-Jul-18,White  Spot,Love my spot! She even more than I expected! Great size for a bedroom!,1
5,29-Jul-18,Black  Spot,So far so good. Just got it and I am trying to figure out all the things it can do. The product itself is very well made.. And easy to set up.,1
1,29-Jul-18,White  Spot,After only a couple of days Alexa did not answer. I have disconnected and will see if it does any better after reconnecting.,0
5,29-Jul-18,Black  Spot,"Perfect! May favorite Alexa device by far, specially if you own ring cameras or amazon cam's it does the job really well.  We changed our echo in the main living room and it seems to be more reactive. Good job Amazon!",1
5,29-Jul-18,Black  Spot,Is great. Use it for music mostly.,1
3,29-Jul-18,Black  Spot,It won’t receive calls and it’s really hard to call someone who has another echo.,1
5,29-Jul-18,Black  Spot,This is our first step into a smart home. Soon as I added one item to the grocery list I started loving it. My wife was so-so about it ‘til I opened rain sounds. She’s a convert. 😉 LOVE these and the dots.,1
5,29-Jul-18,Black  Spot,"Like the little spot,  now our guest room is Alexa enabled.",1
5,29-Jul-18,Black  Spot,We love our echo spots. We now have three through the house and like that you can drop in on the other spots. We do wish the clock faces had more customization options and that there were more faces in general.,1
5,29-Jul-18,Black  Spot,It’s very smart and sweet design,1
4,29-Jul-18,White  Spot,so far just ok,1
5,29-Jul-18,Black  Spot,Love this for bedside clock/alarm/radio.  Face can dimat night so it’s not bright for sleeping.,1
5,29-Jul-18,White  Spot,Love this product I use it as my bedroom clock perfect size with a lot of other options. The only thing I would like to see them add on to it is the ability to fall asleep to mu as if and set a timer for it to go off on it's own. Like you can with tv t hcfe sleep mode.,1
5,29-Jul-18,Black  Spot,Love this. So glad I purchased,1
5,29-Jul-18,Black  Spot,I wanted to see my security video cameras without having to use my phone. Works great and extremely easy to set up.,1
5,29-Jul-18,Black  Spot,The Echo Spot is great!,1
5,28-Jul-18,Black  Spot,We bot 2 on Prime day one for use as a clock/radio in the bedroom and one in the family room to control lights and watch the front door when the doorbell rings.  Music sound is very good not as good as the Echo but way better than our Dots.  If we could only buy 1 Amazon device it would be the Spot.,1
5,28-Jul-18,Black  Spot,I bought two one for my office and one for my bedside table. They are fantastic the screen is just big enough when using the drop in feature to communicate with my mom. I can’t wait for prime day again to get one for my moms bedside table.,1
5,28-Jul-18,White  Spot,"Fantastic product, absolutely love it!",1
5,28-Jul-18,Black  Spot,Love these!,1
3,28-Jul-18,White  Spot,I do like the product we bought it on Prime day but this week it was $30 cheaper then Prime day. Still a really cool device. I wish I would have waited.,1
5,28-Jul-18,Black  Spot,still learning how to ise it but is DOES NOT disappoint. I’m giving to everyone for Christmas so I can “check in” on them unnannounced like they do me...just show up with no advanced warning!!!,1
4,28-Jul-18,White  Spot,Very helpful with daily activities,1
5,28-Jul-18,Black  Spot,Exactly as advertised,1
5,28-Jul-18,Black  Spot,Its very nice,1
5,28-Jul-18,Black  Spot,"More than I expected. I use it for timers, alarms, shopping lists, calendar events, news, weather, and so much more.",1
5,28-Jul-18,White  Spot,Great!,1
4,28-Jul-18,White  Spot,I really like it works well trivia games and shopping on it is fun.Sometimes it misunderstands what I say but other then that the speaker is decent video chat is good but you do need to be in a well lit room so the other end can see you lol.,1
5,28-Jul-18,Black  Spot,Fun to work with still learning everything she can do,1
5,28-Jul-18,White  Spot,Awesome. I love that it shows the lyrics of songs!,1
5,28-Jul-18,Black  Spot,Love the alarm feature...just tell what time.,1
3,28-Jul-18,Black  Spot,I think the dot listens better than spot.,1
4,28-Jul-18,Black  Spot,Had a dot and upgraded to this! I like it. My only complaint is the very short instructions,1
4,28-Jul-18,Black  Spot,"Big step up from the Dot! Dropped one star due to consistent delay in bringing up Ring Pro video, though looks great once the feed is displayed.",1
5,28-Jul-18,White  Spot,Easy set up and to use. I bought two one for my house and one for my 75 year old grandfather. I set it up for him a gave him a 15 minute lesson and he calls me at least once a day it’s is great to be able to see him in between visits.,1
2,28-Jul-18,Black  Spot,I wanted to use it as a clock in our bedroom.  But the font is too small to see from any distance.  And apparently you can't change it.,0
5,28-Jul-18,White  Spot,Great size for bedside. Plus it dims at night!!,1
4,28-Jul-18,Black  Spot,"I love it and it works great, the only issue is the “drop in” FaceTime like feature sometimes lags, but that could possibly be an issue with my WiFi for where we have it located in the house.",1
5,28-Jul-18,Black  Spot,"Love to have meditation music, I use it as a morning alarm, just to mention few in general I love it",1
5,28-Jul-18,Black  Spot,"I don't know why I like it, but I do. It's like an all-in-one alarm clock.  If you have other alexa devices, you know what it is.  If you are looking to get an alarm clock, this is the one to get (yes, its much more than that).  It shows you the time, it shows you the weather, its touch screen, it shows you music lyrics, and it does all the things your typical alexa device does.  It's quite loud for its size as well (sound way better than echo dot).  It also does video calling, which is pretty awesome.  The viewing angle is great, so even if its sitting fairly high up, you can still see the display well enough.",1
5,28-Jul-18,White  Spot,Quick and easy to set up,1
3,28-Jul-18,Black  Spot,I was hoping for a better clock face to make this an alarm clock replacement .  The display brightness dims too much at night to accomplish this task.The display works well for camera viewing.It is an attractive device. and a decent value at $99,1
5,28-Jul-18,Black  Spot,Great device,1
4,28-Jul-18,Black  Spot,I’m a fan of echo devices. I think it’s a great alternative to a clean clock. I like using it to adjust the lightning in the room and listening to sounds to help sleep. My two year old sleeps so much better with it on. We also use it to tell my two year old stories. Only issue is the volume of alexa speaking when you tell her to turn off the lights is loud when the volume is set to what you want to listen to the music at night,1
5,28-Jul-18,White  Spot,"I own 5 Echo devices, consider me addicted! This little number is awesome, not only do I like that it displays, the sound is great and it has the same dependable functionality as other Echo devices. One feature I really like is how it slowly dims after I turn off my bedroom light, so I have a night light for a bit. I love Echo devices and have just about run out of places to put them!",1
5,28-Jul-18,White  Spot,I enjoy this little thing a lot.  Will do almost anything.  I like the jokes it tells.  I’m still learning different functions,1
2,28-Jul-18,Black  Spot,Meh,0
5,28-Jul-18,Black  Spot,Best looking Echo device. Easy to use,1
5,28-Jul-18,Black  Spot,A helpful product with a few glitches eg inability to occasionally access all flash briefing stations and understand or answer certain questions but Amazon will likely fix and improve it.,1
5,28-Jul-18,White  Spot,we like it. very convenient,1
4,28-Jul-18,White  Spot,I love the size of the echo spot. It fits on my nightstand but has all of the capabilities of my echo show. I like going to sleep with the lightening storm. The images along with the sounds are very relaxing. The calling and messaging feature is great. It’s small enough to take with when we travel. I love and own most of the Alexa products. Our whole family uses them.,1
5,28-Jul-18,Black  Spot,The amazon Alexa is so nice to have she wakes me up in the morning with alarms and is great if you have prime because she can do a lot more plays any songs you want her to play and she can even make playlists of your favorite songs i love the Alexa because she has games you can play ad you can watch videos or movie trailers on the screen!,1
5,28-Jul-18,White  Spot,love the spot,1
5,28-Jul-18,Black  Spot,Easy to use easy to set up,1
5,28-Jul-18,Black  Spot,I love my echo spot that my daughter and son in law got me for my birthday. Alexa wakes me each morning and plays music when I ask.,1
1,28-Jul-18,White  Spot,"This product currently has two related software flaws that make it completely unusable:1) There is a &#34;card&#34; on the homescreen called &#34;Things To Try&#34; -- it's an ad for other Alexa services you can try. You can turn off all the other homescreen cards, but not this one.2) By default, the homescreen cards &#34;cycle&#34; automatically, which is incredibly annoying. There is a setting where you can opt to have the cards only &#34;cycle once&#34; instead of &#34;cycle continuously&#34;, but critically *this setting does not work*. My unit has been set to &#34;cycle once&#34;, and the cards still continue to cycle all the time. Have rebooted the device, re-set, etc etc.Until these two obvious software issues are fixed, in my opinion the product is useless.",0
5,28-Jul-18,Black  Spot,Great deal on prime day,1
5,28-Jul-18,Black  Spot,no problem,1
5,27-Jul-18,White  Spot,Excelente su funcionamiento y llama la atención la rapidez de respuesta y el control que se logra a través de la utilización con Alexa. Me sorprendió gratamente. Muy recomendable.,1
5,27-Jul-18,Black  Spot,I love love it !,1
5,27-Jul-18,Black  Spot,"Purchased this on Prime Day and I absolutely love it!  I had the Echo Dot on my nightstand, but I really missed a display. This is perfect and the speakers are excellent.",1
